id,url,title,difficulty
abc242_a,https://atcoder.jp/contests/abc242/tasks/abc242_a,A. T-shirt,37
abc242_b,https://atcoder.jp/contests/abc242/tasks/abc242_b,B. Minimize Ordering,45
abc242_c,https://atcoder.jp/contests/abc242/tasks/abc242_c,C. 1111gal password,512
abc242_d,https://atcoder.jp/contests/abc242/tasks/abc242_d,D. ABC Transform,1286
abc242_e,https://atcoder.jp/contests/abc242/tasks/abc242_e,E. (∀x∀),1365
abc242_h,https://atcoder.jp/contests/abc242/tasks/abc242_h,Ex. Random Painting,2835
abc242_f,https://atcoder.jp/contests/abc242/tasks/abc242_f,F. Black and White Rooks,2268
abc242_g,https://atcoder.jp/contests/abc242/tasks/abc242_g,G. Range Pairing Query,1828
arc136_a,https://atcoder.jp/contests/arc136/tasks/arc136_a,A. A ↔ BB,111
arc136_b,https://atcoder.jp/contests/arc136/tasks/arc136_b,B. Triple Shift,1358
arc136_c,https://atcoder.jp/contests/arc136/tasks/arc136_c,C. Circular Addition,2137
arc136_d,https://atcoder.jp/contests/arc136/tasks/arc136_d,D. Without Carry,1908
arc136_e,https://atcoder.jp/contests/arc136/tasks/arc136_e,E. Non-coprime DAG,3100
arc136_f,https://atcoder.jp/contests/arc136/tasks/arc136_f,F. Flip Cells,3554
abc241_a,https://atcoder.jp/contests/abc241/tasks/abc241_a,A. Digit Machine,15
abc241_b,https://atcoder.jp/contests/abc241/tasks/abc241_b,B. Pasta,42
abc241_c,https://atcoder.jp/contests/abc241/tasks/abc241_c,C. Connect 6,664
abc241_d,https://atcoder.jp/contests/abc241/tasks/abc241_d,D. Sequence Query,1177
abc241_e,https://atcoder.jp/contests/abc241/tasks/abc241_e,E. Putting Candies,1248
abc241_h,https://atcoder.jp/contests/abc241/tasks/abc241_h,Ex. Card Deck Score,2881
abc241_f,https://atcoder.jp/contests/abc241/tasks/abc241_f,F. Skate,1888
abc241_g,https://atcoder.jp/contests/abc241/tasks/abc241_g,G. Round Robin,2422
abc240_a,https://atcoder.jp/contests/abc240/tasks/abc240_a,A. Edge Checker,7
abc240_b,https://atcoder.jp/contests/abc240/tasks/abc240_b,B. Count Distinct Integers,19
abc240_c,https://atcoder.jp/contests/abc240/tasks/abc240_c,C. Jumping Takahashi,464
abc240_d,https://atcoder.jp/contests/abc240/tasks/abc240_d,D. Strange Balls,570
abc240_e,https://atcoder.jp/contests/abc240/tasks/abc240_e,E. Ranges on Tree,1068
abc240_h,https://atcoder.jp/contests/abc240/tasks/abc240_h,Ex. Sequence of Substrings,3184
abc240_f,https://atcoder.jp/contests/abc240/tasks/abc240_f,F. Sum Sum Max,1589
abc240_g,https://atcoder.jp/contests/abc240/tasks/abc240_g,G. Teleporting Takahashi,2462
abc239_a,https://atcoder.jp/contests/abc239/tasks/abc239_a,A. Horizon,21
abc239_b,https://atcoder.jp/contests/abc239/tasks/abc239_b,B. Integer Division,57
abc239_c,https://atcoder.jp/contests/abc239/tasks/abc239_c,C. Knight Fork,198
abc239_d,https://atcoder.jp/contests/abc239/tasks/abc239_d,D. Prime Sum Game,252
abc239_e,https://atcoder.jp/contests/abc239/tasks/abc239_e,E. Subtree K-th Max,1084
abc239_h,https://atcoder.jp/contests/abc239/tasks/abc239_h,Ex. Dice Product 2,2686
abc239_f,https://atcoder.jp/contests/abc239/tasks/abc239_f,F. Construct Highway,1959
abc239_g,https://atcoder.jp/contests/abc239/tasks/abc239_g,G. Builder Takahashi,2215
arc135_a,https://atcoder.jp/contests/arc135/tasks/arc135_a,"A. Floor, Ceil - Decomposition",634
arc135_b,https://atcoder.jp/contests/arc135/tasks/arc135_b,B. Sum of Three Terms,1239
arc135_c,https://atcoder.jp/contests/arc135/tasks/arc135_c,C. XOR to All,1512
arc135_d,https://atcoder.jp/contests/arc135/tasks/arc135_d,D. Add to Square,2750
arc135_e,https://atcoder.jp/contests/arc135/tasks/arc135_e,E. Sequence of Multiples,3157
arc135_f,https://atcoder.jp/contests/arc135/tasks/arc135_f,"F. Delete 1, 4, 7, ...",3821
abc238_a,https://atcoder.jp/contests/abc238/tasks/abc238_a,A. Exponential or Quadratic,26
abc238_b,https://atcoder.jp/contests/abc238/tasks/abc238_b,B. Pizza,183
abc238_c,https://atcoder.jp/contests/abc238/tasks/abc238_c,C. digitnum,637
abc238_d,https://atcoder.jp/contests/abc238/tasks/abc238_d,D. AND and SUM,921
abc238_e,https://atcoder.jp/contests/abc238/tasks/abc238_e,E. Range Sums,1577
abc238_h,https://atcoder.jp/contests/abc238/tasks/abc238_h,Ex. Removing People,3247
abc238_f,https://atcoder.jp/contests/abc238/tasks/abc238_f,F. Two Exams,2058
abc238_g,https://atcoder.jp/contests/abc238/tasks/abc238_g,G. Cubic?,2254
abc237_a,https://atcoder.jp/contests/abc237/tasks/abc237_a,A. Not Overflow,25
abc237_b,https://atcoder.jp/contests/abc237/tasks/abc237_b,B. Matrix Transposition,48
abc237_c,https://atcoder.jp/contests/abc237/tasks/abc237_c,C. kasaka,267
abc237_d,https://atcoder.jp/contests/abc237/tasks/abc237_d,D. LR insertion,544
abc237_e,https://atcoder.jp/contests/abc237/tasks/abc237_e,E. Skiing,1208
abc237_h,https://atcoder.jp/contests/abc237/tasks/abc237_h,Ex. Hakata,2807
abc237_f,https://atcoder.jp/contests/abc237/tasks/abc237_f,F. |LIS| = 3,1857
abc237_g,https://atcoder.jp/contests/abc237/tasks/abc237_g,G. Range Sort Query,2088
arc134_a,https://atcoder.jp/contests/arc134/tasks/arc134_a,A. Bridge and Sheets,247
arc134_b,https://atcoder.jp/contests/arc134/tasks/arc134_b,B. Reserve or Reverse,934
arc134_c,https://atcoder.jp/contests/arc134/tasks/arc134_c,C. The Majority,1560
arc134_d,https://atcoder.jp/contests/arc134/tasks/arc134_d,D. Concatenate Subsequences,1998
arc134_e,https://atcoder.jp/contests/arc134/tasks/arc134_e,E. Modulo Nim,3026
arc134_f,https://atcoder.jp/contests/arc134/tasks/arc134_f,F. Flipping Coins,3530
abc236_a,https://atcoder.jp/contests/abc236/tasks/abc236_a,A. chukodai,7
abc236_b,https://atcoder.jp/contests/abc236/tasks/abc236_b,B. Who is missing?,29
abc236_c,https://atcoder.jp/contests/abc236/tasks/abc236_c,C. Route Map,80
abc236_d,https://atcoder.jp/contests/abc236/tasks/abc236_d,D. Dance,1190
abc236_e,https://atcoder.jp/contests/abc236/tasks/abc236_e,E. Average and Median,1893
abc236_h,https://atcoder.jp/contests/abc236/tasks/abc236_h,Ex. Distinct Multiples,2898
abc236_f,https://atcoder.jp/contests/abc236/tasks/abc236_f,F. Spices,1943
abc236_g,https://atcoder.jp/contests/abc236/tasks/abc236_g,G. Good Vertices,2438
arc133_a,https://atcoder.jp/contests/arc133/tasks/arc133_a,A. Erase by Value,265
arc133_b,https://atcoder.jp/contests/arc133/tasks/arc133_b,B. Dividing Subsequence,1317
arc133_c,https://atcoder.jp/contests/arc133/tasks/arc133_c,C. Row Column Sums,1583
arc133_d,https://atcoder.jp/contests/arc133/tasks/arc133_d,D. Range XOR,2658
arc133_e,https://atcoder.jp/contests/arc133/tasks/arc133_e,E. Cyclic Medians,3238
